Product_Name,Price,Rating,Review Count,URL,ASIN
"Wenger BC Fun Monosling Bag with 10 Inch Tablet Pocket, Stylish for Everyday Gear in Black (7 litres)-Blend of Style & Function, Swiss Designed, 610180 ","1,869",4.2 out of 5 stars,28,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03105213V4KCPAUDBMT5&url=%2FWenger-Polyester-Black-Messenger-610180%2Fdp%2FB084DNY2RB%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-12-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_mtf,['B084DNY2RB']
,,,,,
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black) ,596,4.3 out of 5 stars,"7,620",https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_13?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-13,['B084JGJ8PF']
,,,,,
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty ,899,3.9 out of 5 stars,"7,970",https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_14?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&smid=A3RXEJKPWRVCLY&sr=8-14,['B08YZ8FFBZ']
,,,,,
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric ,739,4.0 out of 5 stars,"12,049",https://www.amazon.in//Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_15?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-15,['B078GLXMDY']
,,,,,
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack ,"1,629",4.5 out of 5 stars,"4,876",https://www.amazon.in//Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-16,['B07BZ5VC4H']
,,,,,
"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black ",596,4.3 out of 5 stars,"7,620",https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_17?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-17,['B085S444JV']
,,,,,
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port ",449,3.9 out of 5 stars,"9,204",https://www.amazon.in//Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_18?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-18,['B07J46KLFP']
,,,,,
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Navy Blue) 40L ,601,3.7 out of 5 stars,18,https://www.amazon.in//Northzone-Lightweight-Backpacks-Stylish-College/dp/B0BCYX6DW2/ref=sr_1_19?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-19,['B0BCYX6DW2']
,,,,,
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls ",609,4.0 out of 5 stars,"1,244",https://www.amazon.in//Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_20?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-20,['B09VTCNN75']
,,,,,
"Wenger Quadma ML 16 Inch Laptop Backpack in Black (22 Litres)-blend of style & function, Swiss designed, 612019 ","1,913",4.6 out of 5 stars,3,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0308949397QPFP055HOV&url=%2FWenger-Backpack-function-designed-612019%2Fdp%2FB09KV8PG66%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-21-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_btf,['B09KV8PG66']
,,,,,
"WENGER 604428 MARS 16 Inch Laptop Backpack Blue 46 Centimeters, M ","2,940",4.5 out of 5 stars,2,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03107011G6LM90D2SAQY&url=%2FWENGER-604428-Laptop-Backpack-Centimeters%2Fdp%2FB07DKW5X1W%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-22-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_btf,['B07DKW5X1W']
,,,,,
"Wenger CITY TRAVELER Laptop Backpack for 16 Inch Laptop & 12 Inch Tablet Pocket, Doubles as an overnighter in Black (16 Litre)-blend of style & function, Swiss designed, 606490 ","7,450",4.6 out of 5 stars,70,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03098411UQUZ4LZ1EW7K&url=%2FWenger-Black-Laptop-Backpack-606490%2Fdp%2FB07QJGLHH5%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dbags%26qid%3D1665173356%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1&qualifier=1665173356&id=8062981558758035&widgetName=sp_atf_next,['B07QJGLHH5']
,,,,,
